Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type
Seb.Rep.1.long.S.TACZ.S44,Sebastes,Sebastes_S_TACZ_1_1,S_TACZ,NA,1,1,Control,Pos
Seb.Rep.2.a.S.TACZ.S138,Sebastes,Sebastes_S_TACZ_1_2,S_TACZ,NA,1,2,Control,Pos
Seb.Rep.3.a.S.TACZ.S232,Sebastes,Sebastes_S_TACZ_1_3,S_TACZ,NA,1,3,Control,Pos
Seb.Rep.1.long.b.S.irac.S93,Sebastes,Sebastes_S_irac_1_1,S_irac,NA,1,1,Control,Pos
Seb.Rep.2.b.S.irac.S187,Sebastes,Sebastes_S_irac_1_2,S_irac,NA,1,2,Control,Pos
Seb.Rep.3.b.S.irac.S282,Sebastes,Sebastes_S_irac_1_3,S_irac,NA,1,3,Control,Pos
Miu.1.a.48.S48,MiFish,MiFish_PCR_negative_1_1,PCR_negative,NA,1,1,Control,Pos
Miu.1.b.52.S100,MiFish,MiFish_PCR_Negative_1_1,PCR_Negative,NA,1,1,Control,Neg
Miu.2.a.48.S148,MiFish,MiFish_PCR_negative_1_2,PCR_negative,NA,1,2,Control,Pos
Miu.2.b.52.S200,MiFish,MiFish_PCR_Negative_1_2,PCR_Negative,NA,1,2,Control,Neg
Miu.3.a.48.S248,MiFish,MiFish_PCR_negative_1_3,PCR_negative,NA,1,3,Control,Pos
Miu.3.b.52.S300,MiFish,MiFish_PCR_Negative_1_3,PCR_Negative,NA,1,3,Control,Neg
Seb.Rep.3.b.PCR.neg.S283,Sebastes,Sebastes_PCR_Negative_1_1,PCR_Negative,NA,1,1,Control,Neg
Miu.1.b.50.S98,MiFish,MiFish_Exp_2__1_1,Exp_2_,NA,1,1,Control,NA
Miu.2.b.50.S198,MiFish,MiFish_Exp_2__1_2,Exp_2_,NA,1,2,Control,NA
Miu.3.b.50.S298,MiFish,MiFish_Exp_2__1_3,Exp_2_,NA,1,3,Control,NA
Seb.Rep.3.b.Blank.2.S281,Sebastes,Sebastes_Exp_2__1_1,Exp_2_,NA,1,1,Control,NA
Miu.1.b.51.S99,MiFish,MiFish_Camel_1_1,Camel,NA,1,1,Control,Pos
Miu.2.b.51.S199,MiFish,MiFish_Camel_1_2,Camel,NA,1,2,Control,Pos
Miu.3.b.51.S299,MiFish,MiFish_Camel_1_3,Camel,NA,1,3,Control,Pos
Miu.1.b.49.S97,MiFish,MiFish_Blank_1__1_1,Blank_1_,NA,1,1,Control,Neg
Miu.2.b.49.S197,MiFish,MiFish_Blank_1__1_2,Blank_1_,NA,1,2,Control,Neg
Miu.3.b.49.S297,MiFish,MiFish_Blank_1__1_3,Blank_1_,NA,1,3,Control,Neg
Seb.Rep.2.b.Blank.1.S185,Sebastes,Sebastes_Blank_1__1_1,Blank_1_,NA,1,1,Control,Neg
Miu.1.a.47.S47,MiFish,MiFish_Alligator_1_1,Alligator,NA,1,1,Control,Pos
Miu.2.a.47.S147,MiFish,MiFish_Alligator_1_2,Alligator,NA,1,2,Control,Pos
Miu.3.a.47.S247,MiFish,MiFish_Alligator_1_3,Alligator,NA,1,3,Control,Pos
Miu.1.b.44.S92,MiFish,MiFish_2019_4_80_60_1_1,2019_4_80_60,2019,1,1,Sample,NA
Miu.1.b.45.S93,MiFish,MiFish_2019_4_80_60_2_1,2019_4_80_60,2019,2,1,Sample,NA
Miu.1.b.46.S94,MiFish,MiFish_2019_4_86.7_50_1_1,2019_4_86.7_50,2019,1,1,Sample,NA
Miu.1.b.47.S95,MiFish,MiFish_2019_4_93.3_30_1_1,2019_4_93.3_30,2019,1,1,Sample,NA
Miu.1.b.48.S96,MiFish,MiFish_2019_4_93.3_60_1_1,2019_4_93.3_60,2019,1,1,Sample,NA
Miu.2.b.44.S192,MiFish,MiFish_2019_4_80_60_1_2,2019_4_80_60,2019,1,2,Sample,NA
Miu.2.b.45.S193,MiFish,MiFish_2019_4_80_60_2_2,2019_4_80_60,2019,2,2,Sample,NA
Miu.2.b.46.S194,MiFish,MiFish_2019_4_86.7_50_1_2,2019_4_86.7_50,2019,1,2,Sample,NA
Miu.2.b.47.S195,MiFish,MiFish_2019_4_93.3_30_1_2,2019_4_93.3_30,2019,1,2,Sample,NA
Miu.2.b.48.S196,MiFish,MiFish_2019_4_93.3_60_1_2,2019_4_93.3_60,2019,1,2,Sample,NA
Miu.3.b.44.S292,MiFish,MiFish_2019_4_80_60_1_3,2019_4_80_60,2019,1,3,Sample,NA
Miu.3.b.45.S293,MiFish,MiFish_2019_4_80_60_2_3,2019_4_80_60,2019,2,3,Sample,NA
Miu.3.b.46.S294,MiFish,MiFish_2019_4_86.7_50_1_3,2019_4_86.7_50,2019,1,3,Sample,NA
Miu.3.b.47.S295,MiFish,MiFish_2019_4_93.3_30_1_3,2019_4_93.3_30,2019,1,3,Sample,NA
Miu.3.b.48.S296,MiFish,MiFish_2019_4_93.3_60_1_3,2019_4_93.3_60,2019,1,3,Sample,NA
Seb.Rep.1.long.b.44.S86,Sebastes,Sebastes_2019_4_80_60_1_1,2019_4_80_60,2019,1,1,Sample,NA
Seb.Rep.2.b.44.S180,Sebastes,Sebastes_2019_4_80_60_1_2,2019_4_80_60,2019,1,2,Sample,NA
Seb.Rep.3.b.44.S275,Sebastes,Sebastes_2019_4_80_60_1_3,2019_4_80_60,2019,1,3,Sample,NA
Seb.Rep.1.long.b.45.S87,Sebastes,Sebastes_2019_4_80_60_2_1,2019_4_80_60,2019,2,1,Sample,NA
Seb.Rep.2.b.45.S181,Sebastes,Sebastes_2019_4_80_60_2_2,2019_4_80_60,2019,2,2,Sample,NA
Seb.Rep.3.b.45.S276,Sebastes,Sebastes_2019_4_80_60_2_3,2019_4_80_60,2019,2,3,Sample,NA
Seb.Rep.1.long.b.46.S88,Sebastes,Sebastes_2019_4_86.7_50_1_1,2019_4_86.7_50,2019,1,1,Sample,NA
Seb.Rep.2.b.46.S182,Sebastes,Sebastes_2019_4_86.7_50_1_2,2019_4_86.7_50,2019,1,2,Sample,NA
Seb.Rep.3.b.46.S277,Sebastes,Sebastes_2019_4_86.7_50_1_3,2019_4_86.7_50,2019,1,3,Sample,NA
Seb.Rep.1.long.b.47.S89,Sebastes,Sebastes_2019_4_93.3_30_1_1,2019_4_93.3_30,2019,1,1,Sample,NA
Seb.Rep.2.b.47.S183,Sebastes,Sebastes_2019_4_93.3_30_1_2,2019_4_93.3_30,2019,1,2,Sample,NA
Seb.Rep.3.b.47.S278,Sebastes,Sebastes_2019_4_93.3_30_1_3,2019_4_93.3_30,2019,1,3,Sample,NA
Seb.Rep.1.long.b.48.S90,Sebastes,Sebastes_2019_4_93.3_60_1_1,2019_4_93.3_60,2019,1,1,Sample,NA
Seb.Rep.2.b.48.S184,Sebastes,Sebastes_2019_4_93.3_60_1_2,2019_4_93.3_60,2019,1,2,Sample,NA
Seb.Rep.3.b.48.S279,Sebastes,Sebastes_2019_4_93.3_60_1_3,2019_4_93.3_60,2019,1,3,Sample,NA
Miu.1.b.39.S87,MiFish,MiFish_2018_4_80_60_1_1,2018_4_80_60,2018,1,1,Sample,NA
Miu.1.b.40.S88,MiFish,MiFish_2018_4_86.7_50_1_1,2018_4_86.7_50,2018,1,1,Sample,NA
Miu.1.b.41.S89,MiFish,MiFish_2018_4_86.7_50_2_1,2018_4_86.7_50,2018,2,1,Sample,NA
Miu.1.b.42.S90,MiFish,MiFish_2018_4_93.3_30_1_1,2018_4_93.3_30,2018,1,1,Sample,NA
Miu.1.b.43.S91,MiFish,MiFish_2018_4_93.3_60_1_1,2018_4_93.3_60,2018,1,1,Sample,NA
Miu.2.b.39.S187,MiFish,MiFish_2018_4_80_60_1_2,2018_4_80_60,2018,1,2,Sample,NA
Miu.2.b.40.S188,MiFish,MiFish_2018_4_86.7_50_1_2,2018_4_86.7_50,2018,1,2,Sample,NA
Miu.2.b.41.S189,MiFish,MiFish_2018_4_86.7_50_2_2,2018_4_86.7_50,2018,2,2,Sample,NA
Miu.2.b.42.S190,MiFish,MiFish_2018_4_93.3_30_1_2,2018_4_93.3_30,2018,1,2,Sample,NA
Miu.2.b.43.S191,MiFish,MiFish_2018_4_93.3_60_1_2,2018_4_93.3_60,2018,1,2,Sample,NA
Miu.3.b.39.S287,MiFish,MiFish_2018_4_80_60_1_3,2018_4_80_60,2018,1,3,Sample,NA
Miu.3.b.40.S288,MiFish,MiFish_2018_4_86.7_50_1_3,2018_4_86.7_50,2018,1,3,Sample,NA
Miu.3.b.41.S289,MiFish,MiFish_2018_4_86.7_50_2_3,2018_4_86.7_50,2018,2,3,Sample,NA
Miu.3.b.42.S290,MiFish,MiFish_2018_4_93.3_30_1_3,2018_4_93.3_30,2018,1,3,Sample,NA
Miu.3.b.43.S291,MiFish,MiFish_2018_4_93.3_60_1_3,2018_4_93.3_60,2018,1,3,Sample,NA
Seb.Rep.1.long.b.39.S82,Sebastes,Sebastes_2018_4_80_60_1_1,2018_4_80_60,2018,1,1,Sample,NA
Seb.Rep.2.b.39.S176,Sebastes,Sebastes_2018_4_80_60_1_2,2018_4_80_60,2018,1,2,Sample,NA
Seb.Rep.3.b.39.S271,Sebastes,Sebastes_2018_4_80_60_1_3,2018_4_80_60,2018,1,3,Sample,NA
Seb.Rep.1.long.b.40.S83,Sebastes,Sebastes_2018_4_86.7_50_1_1,2018_4_86.7_50,2018,1,1,Sample,NA
Seb.Rep.3.b.40.S272,Sebastes,Sebastes_2018_4_86.7_50_1_3,2018_4_86.7_50,2018,1,3,Sample,NA
Seb.Rep.1.long.b.41.S84,Sebastes,Sebastes_2018_4_86.7_50_2_1,2018_4_86.7_50,2018,2,1,Sample,NA
Seb.Rep.2.b.41.S177,Sebastes,Sebastes_2018_4_86.7_50_2_2,2018_4_86.7_50,2018,2,2,Sample,NA
Seb.Rep.3.b.41.S273,Sebastes,Sebastes_2018_4_86.7_50_2_3,2018_4_86.7_50,2018,2,3,Sample,NA
Seb.Rep.1.long.b.42.S85,Sebastes,Sebastes_2018_4_93.3_30_1_1,2018_4_93.3_30,2018,1,1,Sample,NA
Seb.Rep.2.b.42.S178,Sebastes,Sebastes_2018_4_93.3_30_1_2,2018_4_93.3_30,2018,1,2,Sample,NA
Seb.Rep.3.b.42.S274,Sebastes,Sebastes_2018_4_93.3_30_1_3,2018_4_93.3_30,2018,1,3,Sample,NA
Seb.Rep.2.b.43.S179,Sebastes,Sebastes_2018_4_93.3_60_1_2,2018_4_93.3_60,2018,1,2,Sample,NA
Miu.1.b.36.S84,MiFish,MiFish_2017_4_80_60_1_1,2017_4_80_60,2017,1,1,Sample,NA
Miu.1.b.37.S85,MiFish,MiFish_2017_4_86.7_50_1_1,2017_4_86.7_50,2017,1,1,Sample,NA
Miu.1.b.38.S86,MiFish,MiFish_2017_3_93.3_60_1_1,2017_3_93.3_60,2017,1,1,Sample,NA
Miu.2.b.36.S184,MiFish,MiFish_2017_4_80_60_1_2,2017_4_80_60,2017,1,2,Sample,NA
Miu.2.b.37.S185,MiFish,MiFish_2017_4_86.7_50_1_2,2017_4_86.7_50,2017,1,2,Sample,NA
Miu.2.b.38.S186,MiFish,MiFish_2017_3_93.3_60_1_2,2017_3_93.3_60,2017,1,2,Sample,NA
Miu.3.b.36.S284,MiFish,MiFish_2017_4_80_60_1_3,2017_4_80_60,2017,1,3,Sample,NA
Miu.3.b.37.S285,MiFish,MiFish_2017_4_86.7_50_1_3,2017_4_86.7_50,2017,1,3,Sample,NA
Miu.3.b.38.S286,MiFish,MiFish_2017_3_93.3_60_1_3,2017_3_93.3_60,2017,1,3,Sample,NA
Seb.Rep.1.long.b.38.S81,Sebastes,Sebastes_2017_3_93.3_60_1_1,2017_3_93.3_60,2017,1,1,Sample,NA
Seb.Rep.2.b.38.S175,Sebastes,Sebastes_2017_3_93.3_60_1_2,2017_3_93.3_60,2017,1,2,Sample,NA
Seb.Rep.3.b.38.S270,Sebastes,Sebastes_2017_3_93.3_60_1_3,2017_3_93.3_60,2017,1,3,Sample,NA
Seb.Rep.1.long.b.36.S79,Sebastes,Sebastes_2017_4_80_60_1_1,2017_4_80_60,2017,1,1,Sample,NA
Seb.Rep.2.b.36.S173,Sebastes,Sebastes_2017_4_80_60_1_2,2017_4_80_60,2017,1,2,Sample,NA
Seb.Rep.3.b.36.S268,Sebastes,Sebastes_2017_4_80_60_1_3,2017_4_80_60,2017,1,3,Sample,NA
Seb.Rep.1.long.b.37.S80,Sebastes,Sebastes_2017_4_86.7_50_1_1,2017_4_86.7_50,2017,1,1,Sample,NA
Seb.Rep.2.b.37.S174,Sebastes,Sebastes_2017_4_86.7_50_1_2,2017_4_86.7_50,2017,1,2,Sample,NA
Seb.Rep.3.b.37.S269,Sebastes,Sebastes_2017_4_86.7_50_1_3,2017_4_86.7_50,2017,1,3,Sample,NA
Miu.1.b.32.S80,MiFish,MiFish_2016_4_86.7_50_1_1,2016_4_86.7_50,2016,1,1,Sample,NA
Miu.1.b.33.S81,MiFish,MiFish_2016_4_86.7_50_2_1,2016_4_86.7_50,2016,2,1,Sample,NA
Miu.1.b.34.S82,MiFish,MiFish_2016_4_93.3_30_1_1,2016_4_93.3_30,2016,1,1,Sample,NA
Miu.1.b.35.S83,MiFish,MiFish_2016_4_93.3_60_1_1,2016_4_93.3_60,2016,1,1,Sample,NA
Miu.2.b.32.S180,MiFish,MiFish_2016_4_86.7_50_1_2,2016_4_86.7_50,2016,1,2,Sample,NA
Miu.2.b.33.S181,MiFish,MiFish_2016_4_86.7_50_2_2,2016_4_86.7_50,2016,2,2,Sample,NA
Miu.2.b.34.S182,MiFish,MiFish_2016_4_93.3_30_1_2,2016_4_93.3_30,2016,1,2,Sample,NA
Miu.2.b.35.S183,MiFish,MiFish_2016_4_93.3_60_1_2,2016_4_93.3_60,2016,1,2,Sample,NA
Miu.3.b.32.S280,MiFish,MiFish_2016_4_86.7_50_1_3,2016_4_86.7_50,2016,1,3,Sample,NA
Miu.3.b.33.S281,MiFish,MiFish_2016_4_86.7_50_2_3,2016_4_86.7_50,2016,2,3,Sample,NA
Miu.3.b.34.S282,MiFish,MiFish_2016_4_93.3_30_1_3,2016_4_93.3_30,2016,1,3,Sample,NA
Miu.3.b.35.S283,MiFish,MiFish_2016_4_93.3_60_1_3,2016_4_93.3_60,2016,1,3,Sample,NA
Seb.Rep.1.long.b.32.S75,Sebastes,Sebastes_2016_4_86.7_50_1_1,2016_4_86.7_50,2016,1,1,Sample,NA
Seb.Rep.2.b.32.S169,Sebastes,Sebastes_2016_4_86.7_50_1_2,2016_4_86.7_50,2016,1,2,Sample,NA
Seb.Rep.3.b.32.S264,Sebastes,Sebastes_2016_4_86.7_50_1_3,2016_4_86.7_50,2016,1,3,Sample,NA
Seb.Rep.1.long.b.33.S76,Sebastes,Sebastes_2016_4_86.7_50_2_1,2016_4_86.7_50,2016,2,1,Sample,NA
Seb.Rep.2.b.33.S170,Sebastes,Sebastes_2016_4_86.7_50_2_2,2016_4_86.7_50,2016,2,2,Sample,NA
Seb.Rep.3.b.33.S265,Sebastes,Sebastes_2016_4_86.7_50_2_3,2016_4_86.7_50,2016,2,3,Sample,NA
Seb.Rep.1.long.b.34.S77,Sebastes,Sebastes_2016_4_93.3_30_1_1,2016_4_93.3_30,2016,1,1,Sample,NA
Seb.Rep.2.b.34.S171,Sebastes,Sebastes_2016_4_93.3_30_1_2,2016_4_93.3_30,2016,1,2,Sample,NA
Seb.Rep.3.b.34.S266,Sebastes,Sebastes_2016_4_93.3_30_1_3,2016_4_93.3_30,2016,1,3,Sample,NA
Seb.Rep.1.long.b.35.S78,Sebastes,Sebastes_2016_4_93.3_60_1_1,2016_4_93.3_60,2016,1,1,Sample,NA
Seb.Rep.2.b.35.S172,Sebastes,Sebastes_2016_4_93.3_60_1_2,2016_4_93.3_60,2016,1,2,Sample,NA
Seb.Rep.3.b.35.S267,Sebastes,Sebastes_2016_4_93.3_60_1_3,2016_4_93.3_60,2016,1,3,Sample,NA
Miu.1.b.28.S76,MiFish,MiFish_2015_4_80_60_1_1,2015_4_80_60,2015,1,1,Sample,NA
Miu.1.b.29.S77,MiFish,MiFish_2015_4_86.7_50_1_1,2015_4_86.7_50,2015,1,1,Sample,NA
Miu.1.b.30.S78,MiFish,MiFish_2015_4_93.3_30_1_1,2015_4_93.3_30,2015,1,1,Sample,NA
Miu.1.b.31.S79,MiFish,MiFish_2015_4_93.3_60_1_1,2015_4_93.3_60,2015,1,1,Sample,NA
Miu.2.b.28.S176,MiFish,MiFish_2015_4_80_60_1_2,2015_4_80_60,2015,1,2,Sample,NA
Miu.2.b.29.S177,MiFish,MiFish_2015_4_86.7_50_1_2,2015_4_86.7_50,2015,1,2,Sample,NA
Miu.2.b.30.S178,MiFish,MiFish_2015_4_93.3_30_1_2,2015_4_93.3_30,2015,1,2,Sample,NA
Miu.2.b.31.S179,MiFish,MiFish_2015_4_93.3_60_1_2,2015_4_93.3_60,2015,1,2,Sample,NA
Miu.3.b.28.S276,MiFish,MiFish_2015_4_80_60_1_3,2015_4_80_60,2015,1,3,Sample,NA
Miu.3.b.29.S277,MiFish,MiFish_2015_4_86.7_50_1_3,2015_4_86.7_50,2015,1,3,Sample,NA
Miu.3.b.30.S278,MiFish,MiFish_2015_4_93.3_30_1_3,2015_4_93.3_30,2015,1,3,Sample,NA
Miu.3.b.31.S279,MiFish,MiFish_2015_4_93.3_60_1_3,2015_4_93.3_60,2015,1,3,Sample,NA
Seb.Rep.1.long.b.28.S72,Sebastes,Sebastes_2015_4_80_60_1_1,2015_4_80_60,2015,1,1,Sample,NA
Seb.Rep.2.b.28.S166,Sebastes,Sebastes_2015_4_80_60_1_2,2015_4_80_60,2015,1,2,Sample,NA
Seb.Rep.3.b.28.S261,Sebastes,Sebastes_2015_4_80_60_1_3,2015_4_80_60,2015,1,3,Sample,NA
Seb.Rep.1.long.b.29.S73,Sebastes,Sebastes_2015_4_86.7_50_1_1,2015_4_86.7_50,2015,1,1,Sample,NA
Seb.Rep.2.b.29.S167,Sebastes,Sebastes_2015_4_86.7_50_1_2,2015_4_86.7_50,2015,1,2,Sample,NA
Seb.Rep.3.b.29.S262,Sebastes,Sebastes_2015_4_86.7_50_1_3,2015_4_86.7_50,2015,1,3,Sample,NA
Seb.Rep.1.long.b.30.S74,Sebastes,Sebastes_2015_4_93.3_30_1_1,2015_4_93.3_30,2015,1,1,Sample,NA
Seb.Rep.2.b.30.S168,Sebastes,Sebastes_2015_4_93.3_30_1_2,2015_4_93.3_30,2015,1,2,Sample,NA
Seb.Rep.3.b.30.S263,Sebastes,Sebastes_2015_4_93.3_30_1_3,2015_4_93.3_30,2015,1,3,Sample,NA
Miu.1.b.24.S72,MiFish,MiFish_2014_4_80_60_1_1,2014_4_80_60,2014,1,1,Sample,NA
Miu.1.b.25.S73,MiFish,MiFish_2014_4_80_60_2_1,2014_4_80_60,2014,2,1,Sample,NA
Miu.1.b.26.S74,MiFish,MiFish_2014_4_93.3_30_1_1,2014_4_93.3_30,2014,1,1,Sample,NA
Miu.1.b.27.S75,MiFish,MiFish_2014_4_93.3_60_1_1,2014_4_93.3_60,2014,1,1,Sample,NA
Miu.2.b.24.S172,MiFish,MiFish_2014_4_80_60_1_2,2014_4_80_60,2014,1,2,Sample,NA
Miu.2.b.25.S173,MiFish,MiFish_2014_4_80_60_2_2,2014_4_80_60,2014,2,2,Sample,NA
Miu.2.b.26.S174,MiFish,MiFish_2014_4_93.3_30_1_2,2014_4_93.3_30,2014,1,2,Sample,NA
Miu.2.b.27.S175,MiFish,MiFish_2014_4_93.3_60_1_2,2014_4_93.3_60,2014,1,2,Sample,NA
Miu.3.b.24.S272,MiFish,MiFish_2014_4_80_60_1_3,2014_4_80_60,2014,1,3,Sample,NA
Miu.3.b.25.S273,MiFish,MiFish_2014_4_80_60_2_3,2014_4_80_60,2014,2,3,Sample,NA
Miu.3.b.26.S274,MiFish,MiFish_2014_4_93.3_30_1_3,2014_4_93.3_30,2014,1,3,Sample,NA
Miu.3.b.27.S275,MiFish,MiFish_2014_4_93.3_60_1_3,2014_4_93.3_60,2014,1,3,Sample,NA
Seb.Rep.1.long.b.24.S69,Sebastes,Sebastes_2014_4_80_60_1_1,2014_4_80_60,2014,1,1,Sample,NA
Seb.Rep.2.b.24.S163,Sebastes,Sebastes_2014_4_80_60_1_2,2014_4_80_60,2014,1,2,Sample,NA
Seb.Rep.3.b.24.S257,Sebastes,Sebastes_2014_4_80_60_1_3,2014_4_80_60,2014,1,3,Sample,NA
Seb.Rep.1.long.b.25.S70,Sebastes,Sebastes_2014_4_80_60_2_1,2014_4_80_60,2014,2,1,Sample,NA
Seb.Rep.2.b.25.S164,Sebastes,Sebastes_2014_4_80_60_2_2,2014_4_80_60,2014,2,2,Sample,NA
Seb.Rep.3.b.25.S258,Sebastes,Sebastes_2014_4_80_60_2_3,2014_4_80_60,2014,2,3,Sample,NA
Seb.Rep.1.long.b.26.S71,Sebastes,Sebastes_2014_4_93.3_30_1_1,2014_4_93.3_30,2014,1,1,Sample,NA
Seb.Rep.2.b.26.S165,Sebastes,Sebastes_2014_4_93.3_30_1_2,2014_4_93.3_30,2014,1,2,Sample,NA
Seb.Rep.3.b.26.S259,Sebastes,Sebastes_2014_4_93.3_30_1_3,2014_4_93.3_30,2014,1,3,Sample,NA
Seb.Rep.3.b.27.S260,Sebastes,Sebastes_2014_4_93.3_60_1_1,2014_4_93.3_60,2014,1,1,Sample,NA
Miu.1.b.20.S68,MiFish,MiFish_2013_4_80_60_1_1,2013_4_80_60,2013,1,1,Sample,NA
Miu.1.b.21.S69,MiFish,MiFish_2013_4_86.7_50_1_1,2013_4_86.7_50,2013,1,1,Sample,NA
Miu.1.b.22.S70,MiFish,MiFish_2013_4_93.3_30_1_1,2013_4_93.3_30,2013,1,1,Sample,NA
Miu.1.b.23.S71,MiFish,MiFish_2013_4_93.3_60_1_1,2013_4_93.3_60,2013,1,1,Sample,NA
Miu.2.b.20.S168,MiFish,MiFish_2013_4_80_60_1_2,2013_4_80_60,2013,1,2,Sample,NA
Miu.2.b.21.S169,MiFish,MiFish_2013_4_86.7_50_1_2,2013_4_86.7_50,2013,1,2,Sample,NA
Miu.2.b.22.S170,MiFish,MiFish_2013_4_93.3_30_1_2,2013_4_93.3_30,2013,1,2,Sample,NA
Miu.2.b.23.S171,MiFish,MiFish_2013_4_93.3_60_1_2,2013_4_93.3_60,2013,1,2,Sample,NA
Miu.3.b.20.S268,MiFish,MiFish_2013_4_80_60_1_3,2013_4_80_60,2013,1,3,Sample,NA
Miu.3.b.21.S269,MiFish,MiFish_2013_4_86.7_50_1_3,2013_4_86.7_50,2013,1,3,Sample,NA
Miu.3.b.22.S270,MiFish,MiFish_2013_4_93.3_30_1_3,2013_4_93.3_30,2013,1,3,Sample,NA
Miu.3.b.23.S271,MiFish,MiFish_2013_4_93.3_60_1_3,2013_4_93.3_60,2013,1,3,Sample,NA
Seb.Rep.1.long.b.20.S65,Sebastes,Sebastes_2013_4_80_60_1_1,2013_4_80_60,2013,1,1,Sample,NA
Seb.Rep.2.b.20.S159,Sebastes,Sebastes_2013_4_80_60_1_2,2013_4_80_60,2013,1,2,Sample,NA
Seb.Rep.3.b.20.S253,Sebastes,Sebastes_2013_4_80_60_1_3,2013_4_80_60,2013,1,3,Sample,NA
Seb.Rep.1.long.b.21.S66,Sebastes,Sebastes_2013_4_86.7_50_1_1,2013_4_86.7_50,2013,1,1,Sample,NA
Seb.Rep.2.b.21.S160,Sebastes,Sebastes_2013_4_86.7_50_1_2,2013_4_86.7_50,2013,1,2,Sample,NA
Seb.Rep.3.b.21.S254,Sebastes,Sebastes_2013_4_86.7_50_1_3,2013_4_86.7_50,2013,1,3,Sample,NA
Seb.Rep.1.long.b.22.S67,Sebastes,Sebastes_2013_4_93.3_30_1_1,2013_4_93.3_30,2013,1,1,Sample,NA
Seb.Rep.2.b.22.S161,Sebastes,Sebastes_2013_4_93.3_30_1_2,2013_4_93.3_30,2013,1,2,Sample,NA
Seb.Rep.1.long.b.23.S68,Sebastes,Sebastes_2013_4_93.3_60_1_1,2013_4_93.3_60,2013,1,1,Sample,NA
Seb.Rep.2.b.23.S162,Sebastes,Sebastes_2013_4_93.3_60_1_2,2013_4_93.3_60,2013,1,2,Sample,NA
Seb.Rep.3.b.23.S256,Sebastes,Sebastes_2013_4_93.3_60_1_3,2013_4_93.3_60,2013,1,3,Sample,NA
